ship-state,Poblacion_Estimada
Andaman and Nicobar Islands,400000
Andhra Pradesh,53300000
Arunachal Pradesh,1500000
Assam,36000000
Bihar,128500000
Chandigarh,1200000
Chhattisgarh,30900000
Dadra and Nagar Haveli,600000
Daman and Diu,400000
Delhi,22200000
Goa,1500000
Gujarat,72300000
Haryana,31000000
Himachal Pradesh,75000000
Jammu and Kashmir,13800000
Jharkhand,39900000
Karnataka,68100000
Kerala,35900000
Ladakh,300000
Lakshadweep,70000
Madhya Pradesh,87600000
Maharashtra,127500000
Manipur,3200000
Meghalaya,3400000
Mizoram,1200000
Nagaland,2200000
Odisha,46500000
Puducherry,1700000
Punjab,30900000
Rajasthan,81800000
Sikkim,690000
Tamil Nadu,77000000
Telangana,38200000
Tripura,4200000
Uttar Pradesh,241000000
Uttarakhand,11900000
West Bengal,99500000
