archivo origen,nombre columna,dtype,total de uniques,total nan,total unknown,total centinelas / dummies,sample de valores unicos (10 elem)
Amazon Sale Report.csv (Transaccional),index,int64,128975,0,0,4,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7)]"
Amazon Sale Report.csv (Transaccional),Order ID,str,120378,0,0,0,"['405-8078784-5731545', '171-9198151-1101146', '404-0687676-7273146', '403-9615377-8133951', '407-1069790-7240320', '404-1490984-4578765', '408-5748499-6859555', '406-7807733-3785945']"
Amazon Sale Report.csv (Transaccional),Date,str,91,0,0,0,"['04-30-22', '04-29-22', '04-28-22', '04-27-22', '04-26-22', '04-25-22', '04-24-22', '04-23-22']"
Amazon Sale Report.csv (Transaccional),Status,str,13,0,0,0,"['Cancelled', 'Shipped - Delivered to Buyer', 'Shipped', 'Shipped - Returned to Seller', 'Shipped - Rejected by Buyer', 'Shipped - Lost in Transit', 'Shipped - Out for Delivery', 'Shipped - Returning to Seller']"
Amazon Sale Report.csv (Transaccional),Fulfilment,str,2,0,0,0,"['Merchant', 'Amazon']"
Amazon Sale Report.csv (Transaccional),Sales Channel ,str,2,0,0,0,"['Amazon.in', 'Non-Amazon']"
Amazon Sale Report.csv (Transaccional),ship-service-level,str,2,0,0,0,"['Standard', 'Expedited']"
Amazon Sale Report.csv (Transaccional),Style,str,1377,0,0,0,"['SET389', 'JNE3781', 'JNE3371', 'J0341', 'JNE3671', 'SET264', 'J0095', 'JNE3405']"
Amazon Sale Report.csv (Transaccional),SKU,str,7195,0,0,0,"['SET389-KR-NP-S', 'JNE3781-KR-XXXL', 'JNE3371-KR-XL', 'J0341-DR-L', 'JNE3671-TU-XXXL', 'SET264-KR-NP-XL', 'J0095-SET-L', 'JNE3405-KR-S']"
Amazon Sale Report.csv (Transaccional),Category,str,9,0,0,0,"['Set', 'kurta', 'Western Dress', 'Top', 'Ethnic Dress', 'Bottom', 'Saree', 'Blouse']"
Amazon Sale Report.csv (Transaccional),Size,str,11,0,0,0,"['S', '3XL', 'XL', 'L', 'XXL', 'XS', '6XL', 'M']"
